P( Et | Xt ): 
P(d|m) = 0.000280112044818
P(e|m) = 0.000280112044818
P(f|m) = 0.000280112044818
P(g|m) = 0.000280112044818
P(h|m) = 0.000280112044818
P(i|m) = 0.000280112044818
P(j|m) = 0.0652661064426
P(k|m) = 0.0663865546218
P(l|m) = 0.000280112044818
P(m|m) = 0.8
P(n|m) = 0.0619047619048
P(o|m) = 0.000280112044818
P(p|m) = 0.000280112044818
P(q|m) = 0.000280112044818
P(r|m) = 0.000280112044818
P(s|m) = 0.000280112044818
P(t|m) = 0.000280112044818
P(u|m) = 0.000280112044818
P(v|m) = 0.000280112044818
P(w|m) = 0.000280112044818
P(x|m) = 0.000280112044818
P(y|m) = 0.000280112044818
P(z|m) = 0.000280112044818
P(_|n) = 0.000108908734481
P(a|n) = 0.000108908734481
P(b|n) = 0.0521672838162
P(c|n) = 0.000108908734481
P(d|n) = 0.000108908734481
P(e|n) = 0.000108908734481
P(f|n) = 0.000108908734481
P(g|n) = 0.000108908734481
P(h|n) = 0.0524940100196
P(i|n) = 0.000108908734481
P(j|n) = 0.0504247440645
P(k|n) = 0.000108908734481
P(l|n) = 0.000108908734481
P(m|n) = 0.0483554781093
P(n|n) = 0.794162491832
P(o|n) = 0.000108908734481
P(p|n) = 0.000108908734481
P(q|n) = 0.000108908734481
P(r|n) = 0.000108908734481
P(s|n) = 0.000108908734481
P(t|n) = 0.000108908734481
P(u|n) = 0.000108908734481
P(v|n) = 0.000108908734481
P(w|n) = 0.000108908734481
P(x|n) = 0.000108908734481
P(y|n) = 0.000108908734481
P(z|n) = 0.000108908734481
P(_|o) = 8.90313390313e-05
P(a|o) = 8.90313390313e-05
P(b|o) = 8.90313390313e-05
P(c|o) = 8.90313390313e-05
P(d|o) = 8.90313390313e-05
P(e|o) = 8.90313390313e-05
P(f|o) = 8.90313390313e-05
P(g|o) = 8.90313390313e-05
P(h|o) = 8.90313390313e-05
P(i|o) = 0.048344017094
P(j|o) = 8.90313390313e-05
P(k|o) = 0.0524394586895
P(l|o) = 0.0517272079772
P(m|o) = 8.90313390313e-05
P(n|o) = 8.90313390313e-05
P(o|o) = 0.793625356125
P(p|o) = 0.0519052706553
P(q|o) = 8.90313390313e-05
P(r|o) = 8.90313390313e-05
P(s|o) = 8.90313390313e-05
P(t|o) = 8.90313390313e-05
P(u|o) = 8.90313390313e-05
P(v|o) = 8.90313390313e-05
P(w|o) = 8.90313390313e-05
P(x|o) = 8.90313390313e-05
P(y|o) = 8.90313390313e-05
P(z|o) = 8.90313390313e-05
P(_|p) = 0.000325732899023
P(a|p) = 0.000325732899023
P(b|p) = 0.000325732899023
P(c|p) = 0.000325732899023
P(d|p) = 0.000325732899023
P(e|p) = 0.000325732899023
P(f|p) = 0.000325732899023
P(g|p) = 0.000325732899023
P(h|p) = 0.000325732899023
P(i|p) = 0.000325732899023
P(j|p) = 0.000325732899023
P(k|p) = 0.000325732899023
P(l|p) = 0.100651465798
P(m|p) = 0.000325732899023
P(n|p) = 0.000325732899023
P(o|p) = 0.0986970684039
P(p|p) = 0.792833876221
P(q|p) = 0.000325732899023
P(r|p) = 0.000325732899023
P(s|p) = 0.000325732899023
P(t|p) = 0.000325732899023
P(u|p) = 0.000325732899023
P(v|p) = 0.000325732899023
P(w|p) = 0.000325732899023
P(x|p) = 0.000325732899023
P(y|p) = 0.000325732899023
P(z|p) = 0.000325732899023
P(_|q) = 0.00588235294118
P(a|q) = 0.0823529411765
P(b|q) = 0.00588235294118
P(c|q) = 0.00588235294118
P(d|q) = 0.00588235294118
P(e|q) = 0.00588235294118
P(f|q) = 0.00588235294118
P(g|q) = 0.00588235294118
P(h|q) = 0.00588235294118
P(i|q) = 0.00588235294118
P(j|q) = 0.00588235294118
P(k|q) = 0.00588235294118
P(l|q) = 0.00588235294118
P(m|q) = 0.00588235294118
P(n|q) = 0.00588235294118
P(o|q) = 0.00588235294118
P(p|q) = 0.00588235294118
P(q|q) = 0.676470588235
P(r|q) = 0.00588235294118
P(s|q) = 0.00588235294118
P(t|q) = 0.00588235294118
P(u|q) = 0.00588235294118
P(v|q) = 0.00588235294118
P(w|q) = 0.1
P(x|q) = 0.00588235294118
P(y|q) = 0.00588235294118
P(z|q) = 0.00588235294118
P(_|r) = 0.000128915817971
P(a|r) = 0.000128915817971
P(b|r) = 0.000128915817971
P(c|r) = 0.000128915817971
P(d|r) = 0.0524687379141
P(e|r) = 0.0501482531907
P(f|r) = 0.0491169266469
P(g|r) = 0.000128915817971
P(h|r) = 0.000128915817971
P(i|r) = 0.000128915817971
P(j|r) = 0.000128915817971
P(k|r) = 0.000128915817971
P(l|r) = 0.000128915817971
P(m|r) = 0.000128915817971
P(n|r) = 0.000128915817971
P(o|r) = 0.000128915817971
P(p|r) = 0.000128915817971
P(q|r) = 0.000128915817971
P(r|r) = 0.791027459069
P(s|r) = 0.000128915817971
P(t|r) = 0.0544024751837
P(u|r) = 0.000128915817971
P(v|r) = 0.000128915817971
P(w|r) = 0.000128915817971
P(x|r) = 0.000128915817971
P(y|r) = 0.000128915817971
P(z|r) = 0.000128915817971
P(_|s) = 0.000109902187054
P(a|s) = 0.0426420485768
